model,AIC,BIC,logLik,R2_marginal,R2_conditional,ICC_adjusted,DH_KS_p,DH_Disp_p,DH_Out_p,DH_Quant_p
Model 7,2079.401988745764,2116.8991338007177,-1024.700994372882,0.5934226381462718,0.8013346161351469,0.5113712604187595,0.4071751631380873,0.336,0.5132496131830462,0.31489963167388724
Model 4,2079.951580604077,2097.450248296389,-1032.9757903020386,0.45896995021084913,0.7817558039601065,0.5966135409207912,0.24880973674155596,0.248,0.5132496131830462,0.13925480187733613
Model 5,2081.710713119679,2101.709190482321,-1032.8553565598395,0.46773712413722324,0.7753313463419867,0.577899072344968,0.5286968798984266,0.2,1,0.25983900396054893
Model 6,2082.5512117959215,2107.549308499224,-1031.2756058979608,0.47752924868005364,0.7733073073505855,0.5661140990635202,0.4071751631380873,0.152,0.5132496131830462,0.13648316847200795
Model 8,2085.5384798614787,2138.0344829384144,-1021.7692399307393,0.633531749384687,0.7838433087662051,0.4101625696882056,0.9539825710799799,0.24,1,0.15726451115722537
Model 9,2090.206089707184,2150.2015217951107,-1021.1030448535921,0.6360253668423056,0.7883734356565115,0.418567820214548,0.8309677631837094,0.28,1,0.2603391925354902
Model 2,2114.181836683314,2126.6808850349653,-1052.090918341657,0.20064304713483544,0.7005946047136061,0.625442182978175,0.0685744436043643,0.104,0.5132496131830462,0.207038506237257
Model 3,2116.06518393396,2131.0640419559413,-1052.03259196698,0.19860973181798933,0.7065328221633846,0.6338024187611379,0.10911885884463815,0.104,1,0.26469356170800884
Model 1,2123.4503981213734,2133.4496368026944,-1057.7251990606867,0.018672966885999155,0.6844205200649698,0.6784155849313394,0.07163447862663457,0.056,0.5132496131830462,0.14108635964757027
